year,period_id,entity_id,scope,layer,theory_family_id,raw_score,normalized_score,confidence_label,derivation_status
1972,1962_1979,global_system,global,synthesis,geopolitics_imperialism_reason_of_state,71.05,19.1484,high,derived_constant
1973,1962_1979,global_system,global,synthesis,geopolitics_imperialism_reason_of_state,71.05,19.1484,high,derived_constant
1974,1962_1979,global_system,global,synthesis,geopolitics_imperialism_reason_of_state,71.05,19.1484,high,derived_constant
1975,1962_1979,global_system,global,synthesis,geopolitics_imperialism_reason_of_state,71.05,19.1484,high,derived_constant
1976,1962_1979,global_system,global,synthesis,geopolitics_imperialism_reason_of_state,71.05,19.1484,high,derived_constant
1977,1962_1979,global_system,global,synthesis,geopolitics_imperialism_reason_of_state,71.05,19.1484,high,derived_constant
1978,1962_1979,global_system,global,synthesis,geopolitics_imperialism_reason_of_state,71.05,19.1484,high,derived_constant
1979,1962_1979,global_system,global,synthesis,geopolitics_imperialism_reason_of_state,71.05,19.1484,high,derived_constant
1979,1979_1991,global_system,global,synthesis,realism,87.45,21.3189,high,derived_constant
1980,1979_1991,global_system,global,synthesis,realism,87.45,21.3189,high,derived_constant
1981,1979_1991,global_system,global,synthesis,realism,87.45,21.3189,high,derived_constant
1982,1979_1991,global_system,global,synthesis,realism,87.45,21.3189,high,derived_constant
1983,1979_1991,global_system,global,synthesis,realism,87.45,21.3189,high,derived_constant
1984,1979_1991,global_system,global,synthesis,realism,87.45,21.3189,high,derived_constant
1985,1979_1991,global_system,global,synthesis,realism,87.45,21.3189,high,derived_constant
1986,1979_1991,global_system,global,synthesis,realism,87.45,21.3189,high,derived_constant
1987,1979_1991,global_system,global,synthesis,realism,87.45,21.3189,high,derived_constant
1988,1979_1991,global_system,global,synthesis,realism,87.45,21.3189,high,derived_constant
1989,1979_1991,global_system,global,synthesis,realism,87.45,21.3189,high,derived_constant
1990,1979_1991,global_system,global,synthesis,realism,87.45,21.3189,high,derived_constant
1991,1979_1991,global_system,global,synthesis,realism,87.45,21.3189,high,derived_constant
1979,1979_1991,global_system,global,synthesis,liberalism,70.35,17.1502,high,derived_constant
1980,1979_1991,global_system,global,synthesis,liberalism,70.35,17.1502,high,derived_constant
1981,1979_1991,global_system,global,synthesis,liberalism,70.35,17.1502,high,derived_constant
1982,1979_1991,global_system,global,synthesis,liberalism,70.35,17.1502,high,derived_constant
1983,1979_1991,global_system,global,synthesis,liberalism,70.35,17.1502,high,derived_constant
1984,1979_1991,global_system,global,synthesis,liberalism,70.35,17.1502,high,derived_constant
1985,1979_1991,global_system,global,synthesis,liberalism,70.35,17.1502,high,derived_constant
1986,1979_1991,global_system,global,synthesis,liberalism,70.35,17.1502,high,derived_constant
1987,1979_1991,global_system,global,synthesis,liberalism,70.35,17.1502,high,derived_constant
1988,1979_1991,global_system,global,synthesis,liberalism,70.35,17.1502,high,derived_constant
1989,1979_1991,global_system,global,synthesis,liberalism,70.35,17.1502,high,derived_constant
1990,1979_1991,global_system,global,synthesis,liberalism,70.35,17.1502,high,derived_constant
1991,1979_1991,global_system,global,synthesis,liberalism,70.35,17.1502,high,derived_constant
1979,1979_1991,global_system,global,synthesis,marxism_dependency_structuralism,61.45,14.9805,high,derived_constant
1980,1979_1991,global_system,global,synthesis,marxism_dependency_structuralism,61.45,14.9805,high,derived_constant
1981,1979_1991,global_system,global,synthesis,marxism_dependency_structuralism,61.45,14.9805,high,derived_constant
